Unidade de Lotação,Processo SEI,Tipo de Processo,Usuários,Atividades,Tipo de Ação,Pontuação,Data Entrega
GR01FI3,01245.123456/2021-69,Fiscalização: Outorga,Marco Rossi,TEC_13_1 - Elaborar documentação de fiscalização,Análise,4,22/01/2021
FIGF,01245.123457/2020-58,Fiscalização: Radiodifusão,Andrea Russo,FIGF_14_1 - Preparar resposta a demandantes 1,Análise,4,09/11/2020
FIGF,01245.123457/2020-58,Fiscalização: Radiodifusão,Giuseppe Ferrari,FIGF_14_1 - Preparar resposta a demandantes 1,Revisão,"0,5",09/11/2020
FIGF,01250.123459/2016-11,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_1 - Preparar resposta a demandantes 1,Análise,4,24/02/2021
FIGF,01250.123459/2016-11,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_1 - Preparar resposta a demandantes 1,Revisão,0,26/02/2021
FIGF,01250.123461/2016-30,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_1 - Preparar resposta a demandantes 1,Análise,4,10/02/2021
FIGF,01250.123461/2016-30,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_1 - Preparar resposta a demandantes 1,Revisão,0,26/02/2021
FIGF,01250.123463/2016-12,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,TRIB_04_1 - Levantamento de informações iniciais,Análise,"4,5",04/03/2021
FIGF,01250.123463/2016-12,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_1 - Preparar resposta a demandantes 1,Análise,4,04/03/2021
FIGF,01250.123463/2016-12,Demanda Externa: Órgãos Governamentais Federais,Luca Bianchi,FIGF_14_1 - Preparar resposta a demandantes 1,Revisão,"0,5",08/03/2021
FIGF,01250.123463/2016-12,Demanda Externa: Órgãos Governamentais Federais,Luca Bianchi,TRIB_04_1 - Levantamento de informações iniciais,Revisão,0,08/03/2021
FIGF,01250.123463/2016-12,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_1 - Preparar resposta a demandantes 1,Análise,4,15/03/2021
FIGF,01250.123463/2016-12,Demanda Externa: Órgãos Governamentais Federais,Luca Bianchi,FIGF_14_1 - Preparar resposta a demandantes 1,Revisão,"0,5",23/03/2021
FIGF,01250.123469/2016-74,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_1 - Preparar resposta a demandantes 1,Análise,4,24/02/2021
FIGF,01250.123469/2016-74,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,TRIB_04_1 - Levantamento de informações iniciais,Análise,"4,5",02/03/2021
FIGF,01250.123469/2016-74,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_1 - Preparar resposta a demandantes 1,Análise,4,02/03/2021
